Assay,SampleID,ColonyID,Site,Colony,rep,TimePoint,PercentN,PercentC,CN_mass_mg
CG_CN,NSP12QL-1-I,NSP12QL,NSP,12QL,1,I,12.78663635,49.49010468,0.321
CG_CN,NSP12QL-2-I,NSP12QL,NSP,12QL,2,I,12.43443489,50.32699203,0.395
CG_CN,NSP12QL-3-I,NSP12QL,NSP,12QL,3,I,11.72091103,52.03290558,0.395
CG_CN,NSP14-1-F,NSP14,NSP,14,1,F,7.652571201,60.59445572,0.305
CG_CN,NSP1-1-F,NSP1,NSP,1,1,F,11.76631737,51.05291367,0.395
CG_CN,NSP1-2-F,NSP1,NSP,1,2,F,11.2475214,49.65271759,0.495
CG_CN,NSP1-3-F,NSP1,NSP,1,3,F,11.15313339,53.34129333,0.49
CG_CN,NSP2-1-I,NSP2,NSP,2,1,I,10.04482651,54.66542053,0.478
CG_CN,NSP2-2-I,NSP2,NSP,2,2,I,9.888532639,54.69410706,0.548
CG_CN,NSP2-3-I,NSP2,NSP,2,3,I,10.20228481,54.78524399,0.664
CG_CN,NSP6-1-I,NSP6,NSP,6,1,I,11.58127117,52.8022995,0.521
CG_CN,NSP6-2-I,NSP6,NSP,6,2,I,10.72639942,54.2775383,0.504
CG_CN,NSP6-3-I,NSP6,NSP,6,3,I,10.26862812,54.08876419,0.51
CG_CN,NSP11-1-I,NSP11,NSP,11,1,I,10.08466053,51.00695801,0.313
CG_CN,NSP11-2-I,NSP11,NSP,11,2,I,10.48968315,54.103508,0.393
CG_CN,NSP11-3-I,NSP11,NSP,11,3,I,10.43505096,54.34896851,0.467
CG_CN,NSP14-1-I,NSP14,NSP,14,1,I,10.12067604,52.21969223,0.401
CG_CN,NSP14-2-I,NSP14,NSP,14,2,I,9.272173882,55.49544907,0.698
CG_CN,NSP14-3-I,NSP14,NSP,14,3,I,7.828938961,59.6114502,2.518
CG_CN,NSP3-1-I,NSP3,NSP,3,1,I,10.01564884,55.44671249,0.616
CG_CN,NSP3-2-I,NSP3,NSP,3,2,I,10.18174553,54.40614319,0.537
CG_CN,NSP3-3-I,NSP3,NSP,3,3,I,10.25348186,54.67879868,0.518
CG_CN,NSP8-1-I,NSP8,NSP,8,1,I,10.00187683,54.73019409,0.509
CG_CN,NSP8-2-I,NSP8,NSP,8,2,I,10.48518085,52.53245163,0.433
CG_CN,NSP8-3-I,NSP8,NSP,8,3,I,10.90420818,52.81098175,0.379
CG_CN,NSP10-1-I,NSP10,NSP,10,1,I,8.654348373,56.21413803,0.72
CG_CN,NSP10-2-I,NSP10,NSP,10,2,I,9.439910889,55.86782455,0.583
CG_CN,NSP10-3-I,NSP10,NSP,10,3,I,9.228669167,56.89987564,0.726
CG_CN,NSP15-1-I,NSP15,NSP,15,1,I,11.06298733,52.89624405,0.346
CG_CN,YM11-1-I,YM11,YM,11,1,I,9.282611847,55.53766251,0.443
CG_CN,YM11-2-I,YM11,YM,11,2,I,8.476780891,53.17843628,0.47
