"","Assay.x","SampleID","ColonyID","Site","Colony","rep","TimePoint","PercentN","PercentC","CN_mass_mg","Assay.y","Peak_Concentration_mgP.L","P_mass_mg"
"44","CG_CN","YM7-1-I","YM7","YM","7",1,"I",9.752269745,53.04126358,0.346,"CG_P",0.264,0.343
"45","CG_CN","YM7-2-I","YM7","YM","7",2,"I",9.421953201,53.4547081,0.403,"CG_P",0.302,0.394
"46","CG_CN","YM7-3-I","YM7","YM","7",3,"I",9.555281639,52.64443588,0.329,"CG_P",0.297,0.371
"47","CG_CN","YM8-1-I","YM8","YM","8",1,"I",9.440377235,51.96746063,0.203,"CG_P",0.252,0.314
"48","CG_CN","YM8-2-I","YM8","YM","8",2,"I",7.997960091,54.5937767,0.23,"CG_P",0.187,0.236
"49","CG_CN","YM8-3-I","YM8","YM","8",3,"I",10.37495041,52.30907059,0.263,"CG_P",0.204,0.24
"50","CG_CN","YM9-1-I","YM9","YM","9",1,"I",10.33057499,53.70018768,0.437,"CG_P",0.297,0.391
"51","CG_CN","YM9-2-I","YM9","YM","9",2,"I",9.873696327,55.36010742,0.499,"CG_P",0.354,0.411
"52","CG_CN","YM9-3-I","YM9","YM","9",3,"I",9.74375248,53.75030518,0.467,"CG_P",0.314,0.43
"53","CG_CN","YM6-1-I","YM6","YM","6",1,"I",11.1699028,50.6957283,0.342,"CG_P",0.17,0.219
"54","CG_CN","YM6-2-I","YM6","YM","6",2,"I",10.86328793,49.40601349,0.3,"CG_P",0.294,0.345
"55","CG_CN","YM6-3-I","YM6","YM","6",3,"I",9.99443531,52.41841125,0.343,"CG_P",0.268,0.341
"56","CG_CN","YM12-1-I","YM12","YM","12",1,"I",8.903749466,55.98323822,0.543,"CG_P",0.336,0.515
"57","CG_CN","YM12-2-I","YM12","YM","12",2,"I",9.219306946,55.16216278,0.585,"CG_P",0.371,0.567
"58","CG_CN","YM12-3-I","YM12","YM","12",3,"I",9.623439789,54.4510498,0.455,"CG_P",0.335,0.48
"59","CG_CN","NSP8-1-F","NSP8","NSP","8",1,"F",8.896280289,55.3692131,0.235,NA,NA,NA
"60","CG_CN","NSP15-1-F","NSP15","NSP","15",1,"F",7.083795547,60.20477676,0.319,"CG_P",0.431,0.811
"61","CG_CN","NSP15-2-F","NSP15","NSP","15",2,"F",7.423630238,59.46531296,0.361,"CG_P",0.206,0.365
"62","CG_CN","NSP15-3-F","NSP15","NSP","15",3,"F",6.477721214,61.67477417,0.619,"CG_P",0.2,0.359
"63","CG_CN","NSP7-1-I","NSP7","NSP","7",1,"I",10.06706619,55.00399399,0.466,NA,NA,NA
"64","CG_CN","YM8-1-F","YM8","YM","8",1,"F",6.790519714,59.7010994,0.369,"CG_P",0.228,0.338
"65","CG_CN","YM8-2-F","YM8","YM","8",2,"F",5.907526016,61.9715004,0.363,"CG_P",0.222,0.43
"66","CG_CN","YM8-3-F","YM8","YM","8",3,"F",6.975261688,59.35741806,0.4,NA,NA,NA
"67","CG_CN","YM12-1-F","YM12","YM","12",1,"F",7.698630333,58.78385544,0.415,"CG_P",0.212,0.379
"68","CG_CN","YM12-2-F","YM12","YM","12",2,"F",7.005650043,59.34477615,0.241,"CG_P",0.182,0.316
"69","CG_CN","YM12-3-F","YM12","YM","12",3,"F",6.689011097,59.50926971,0.352,NA,NA,NA
"70","CG_CN","YM13-1-F","YM13","YM","13",1,"F",9.260614395,53.1153183,0.192,"CG_P",0.187,0.268
"71","CG_CN","YM13-2-F","YM13","YM","13",2,"F",8.411607742,57.68520737,0.226,"CG_P",0.215,0.387
"72","CG_CN","YM13-3-F","YM13","YM","13",3,"F",6.239140034,59.63338089,0.278,"CG_P",0.278,0.431
"73","CG_CN","YM10-1-F","YM10","YM","10",1,"F",5.898234844,63.34606934,1.013,NA,NA,NA
