colonyID2,CN.colony.mass,N.percent.colony,C.percent.colony,P.ave.colony,P.mass.colony,lat,MAP,DRT,APS,MAT,colonyID,P.ave.percent.colony
NSP3,0.537499979,10.42155504,56.0512085,-2.083858644,0.616666667,40.08038,1142,114,13,11.8,NSP3,0.824406403
RC02,0.412999988,7.902225018,60.31302643,-2.150718968,0.5015,36.0364,1158,132,11,14.4,RC02,0.706774761
RC06,0.470999986,8.577982585,58.75214895,-2.255659308,0.514,36.0364,1158,132,11,14.4,RC06,0.555060973
RC09,0.453999997,8.274630308,59.49868202,-2.216820682,0.458,36.0364,1158,132,11,14.4,RC09,0.6069869
RC15,0.421666662,8.271213214,61.1264089,,,36.0364,1158,132,11,14.4,NA,NA
RC16,0.486000001,7.134217421,61.57589976,-2.246591384,0.5285,36.0364,1158,132,11,14.4,RC16,0.566772299
RW5,0.449000001,9.843227864,54.98941612,-1.999066065,0.514,44.4906,843,116,22,6.7,RW5,1.002152779
SEB2,0.553000004,9.834682942,55.86544419,-2.089144643,0.582,43.9235,1158,123,12,6.9,SEB2,0.81443299
SEB3,0.276500002,8.856312275,55.35828781,-2.049647167,0.324,43.9235,1158,123,12,6.9,SEB3,0.891975309
SEB9,0.514499992,10.47695971,55.16121101,-2.151267675,0.51,43.9235,1158,123,12,6.9,SEB9,0.705882353
UNF3,0.502666672,7.552058538,60.59979375,-2.256410734,0.591,35.3693,1184,129,14,15.3,UNF3,0.554101423
UNF4,0.546999991,7.222931624,63.35665512,,,35.3693,1184,129,14,15.3,NA,NA
UNF6,0.465333342,8.852817216,58.67571386,-2.102513503,0.427666667,35.3693,1184,129,14,15.3,UNF6,0.789744294
UNF7,0.306999996,10.21077124,53.56845093,-2.011776986,0.332666667,35.3693,1184,129,14,15.3,UNF7,0.973246867
UNF8,0.464000007,7.07678318,62.69225438,,,35.3693,1184,129,14,15.3,NA,NA
WP1,0.370000005,9.821694374,55.25839233,,,39.7284,1113,111,12,11.5,NA,NA
WP11,0.481999994,10.09647687,55.52632777,-2.008717946,0.449,39.7284,1113,111,12,11.5,WP11,0.980126325
WP6,0.432000001,10.34540018,54.13375473,-2.014570894,0.549,39.7284,1113,111,12,11.5,WP6,0.96700586
WP8,0.402333339,11.51828289,54.55517578,-2.007374659,0.4825,39.7284,1113,111,12,11.5,WP8,0.983162581
WP9,0.469333331,9.807552019,56.04205958,,,39.7284,1113,111,12,11.5,NA,NA
YM01,0.524999991,8.644525767,59.53598786,-2.274820736,0.723,35.7214,1148,126,13,15.2,YM01,0.531103623
YM02,0.601500005,6.522799015,64.03486824,-2.153917045,0.5265,35.7214,1148,126,13,15.2,YM02,0.701589296
YM03,0.460000008,8.249097824,59.59472656,-2.39823041,0.748,35.7214,1148,126,13,15.2,YM03,0.39973262
