Site,Name,rep,Analysis_Type,Weight_mg_CN,Percent-N,Percent-C,Long,Lat
KBH,KBH5-2-1,1,CN,0.583999991,9.619184494,56.83148193,-69.9211,44.5676
KBH,KBH5-2-2,2,CN,0.790000021,9.768366814,56.97221756,-69.9211,44.5676
KBH,KBH5-2-3,3,CN,0.5,10.47266579,55.35970688,-69.9211,44.5676
KBH,KBH6-1,1,CN,0.48300001,9.312464714,55.9833107,-69.9211,44.5676
KBH,KBH6-2,2,CN,0.462000012,9.730535507,57.0255394,-69.9211,44.5676
KBH,KBH8-1,1,CN,0.448000014,7.621504784,59.6468544,-69.9211,44.5676
LGP,LGP3-1,1,CN,0.411000013,9.851780891,55.01502991,-83.4919,35.6394
LGP,LGP3-3,2,CN,0.463,10.12647152,54.66915512,-83.4919,35.6394
LGP,LGP5-1,1,CN,0.582000017,9.718580246,55.69744492,-83.4919,35.6394
LGP,LGP5-2,2,CN,0.467000008,10.10174179,55.76469421,-83.4919,35.6394
Ljams,Ljams1-1,1,CN,0.365999997,10.26124573,52.94134903,-83.8668,35.9568
Ljams,Ljams1-2,2,CN,0.509000003,10.72321606,54.28677368,-83.8668,35.9568
Ljams,Ljams1-3,3,CN,0.493000001,10.84891129,53.46447372,-83.8668,35.9568
Ljams,Ljams3-1,1,CN,0.492000014,9.618496895,56.05155563,-83.8668,35.9568
Ljams,Ljams3-2,2,CN,0.409000009,9.533781052,55.2871933,-83.8668,35.9568
Ljams,Ljams3-3,3,CN,0.481000006,10.06126595,55.04803085,-83.8668,35.9568
LVA,LV8-1,1,CN,0.411000013,10.57395267,53.73955536,-79.181,37.4211
LVA,LV8-2,2,CN,0.433999985,10.03582382,55.78144836,-79.181,37.4211
LVA,LV8-3,3,CN,0.541000009,6.003565788,65.77919006,-79.181,37.4211
LVA,LVA11-1,1,CN,0.564999998,10.13457775,55.79953003,-79.181,37.4211
LVA,LVA11-2,2,CN,0.485000014,7.532615662,61.23602676,-79.181,37.4211
LVA,LVA11-3,3,CN,0.675999999,9.724309921,56.08169937,-79.181,37.4211
LVA,LVA2-1,1,CN,0.504000008,8.785595894,59.00908279,-79.181,37.4211
LVA,LVA2-2,2,CN,0.628000021,8.764630318,58.64683151,-79.181,37.4211
LVA,LVA2-3,3,CN,0.398999989,10.38999176,55.51888275,-79.181,37.4211
LVA,LVA3-1,1,CN,0.518000007,9.389621735,55.81706238,-79.181,37.4211
LVA,LVA3-2,2,CN,0.522000015,9.065710068,57.04894257,-79.181,37.4211
LVA,LVA3-3,3,CN,0.49000001,9.448988914,55.7603569,-79.181,37.4211
LVA,LVA4-1,1,CN,0.407999992,9.061667442,57.59062576,-79.181,37.4211
LVA,LVA4-2,2,CN,0.389999986,8.61181736,57.16867447,-79.181,37.4211
LVA,LVA4-3,3,CN,0.505999982,8.972106934,57.51485443,-79.181,37.4211
LVA,LVA7-1,1,CN,0.518999994,9.903290749,55.54821396,-79.181,37.4211
LVA,LVA7-2,2,CN,0.476999998,6.333536625,63.9560318,-79.181,37.4211
LVA,LVA7-3,3,CN,0.521000028,9.170519829,57.96492004,-79.181,37.4211
LVA,LVA9-1,1,CN,0.703000009,6.607567787,63.09200668,-79.181,37.4211
LVA,LVA9-2,2,CN,0.505999982,5.889474869,64.92760468,-79.181,37.4211
LVA,LVA9-3,3,CN,0.565999985,6.979053974,62.83543015,-79.181,37.4211
MB,MB06-1,1,CN,0.381000012,6.283729076,62.41703033,-72.64,44.5
MB,MB06-2,2,CN,0.412,4.92416811,63.25123215,-72.64,44.5
MB,MB06-3,3,CN,0.351000011,5.856265068,61.95484543,-72.64,44.5
MB,MB1-1,1,CN,0.524999976,7.436549187,60.35598755,-72.64,44.5
MB,MB1-2,2,CN,0.5,6.624662399,61.59019852,-72.64,44.5
MB,MB1-3,3,CN,0.400000006,7.172618866,61.40869904,-72.64,44.5
MB,MB2-1,1,CN,0.326000005,7.411108494,60.91106796,-72.64,44.5
MB,MB2-2,2,CN,0.356000006,6.95761776,62.13782501,-72.64,44.5
MB,MB2-3,3,CN,0.465000004,6.421413898,63.04008102,-72.64,44.5
Nock,Nock6-1,1,CN,0.453999996,10.02424812,55.4582634,-75.23473,40.4691
Nock,Nock6-2,2,CN,0.499000013,9.565160751,56.16616821,-75.23473,40.4691
Notch,Notch1-1,1,CN,0.740999997,11.16558552,54.38959503,-73.0043,42.4983
Notch,Notch1-2,2,CN,0.734000027,10.11730671,55.17111969,-73.0043,42.4983
Notch,Notch3-1,1,CN,0.545000017,10.22340298,55.18016434,-73.0043,42.4983
Notch,Notch3-2,2,CN,0.528999984,10.98422146,52.90577316,-73.0043,42.4983
Notch,Notch4-1,1,CN,0.619000018,10.43193245,54.66938019,-73.0043,42.4983
Notch,Notch4-2,2,CN,0.536000013,10.57964897,55.12866974,-73.0043,42.4983
Notch,Notch4-3,3,CN,0.460999995,10.21228027,55.57292938,-73.0043,42.4983
NSP,NSP11-1,1,CN,0.43900001,11.47324371,53.4160614,-74.91124,40.08038
NSP,NSP11-2,2,CN,0.617999971,10.33742046,54.96037674,-74.91124,40.08038
NSP,NSP11-3,3,CN,0.541000009,10.80026722,55.92677689,-74.91124,40.08038
NSP,NSP2-1,1,CN,0.713,8.693613052,59.4609642,-74.91124,40.08038
NSP,NSP2-2,2,CN,0.448000014,9.410598755,52.47297668,-74.91124,40.08038
NSP,NSP2-3,3,CN,0.437999994,9.959100723,56.37187576,-74.91124,40.08038
NSP,NSP3-1,1,CN,0.579999983,10.37617302,55.92690659,-74.91124,40.08038
NSP,NSP3-2,2,CN,0.470999986,10.58464813,56.18149948,-74.91124,40.08038
NSP,NSP3-3,3,CN,0.603999972,10.25846195,55.92091751,-74.91124,40.08038
RC,RC02-1,1,CN,0.412999988,7.902225018,60.31302643,-79.0772,36.0364
RC,RC06-1,1,CN,0.501999974,6.777788162,62.83126831,-79.0772,36.0364
RC,RC06-2,2,CN,0.412999988,9.11119175,56.42629242,-79.0772,36.0364
RC,RC06-3,3,CN,0.497999996,9.844967842,56.99888611,-79.0772,36.0364
RC,RC09-1,1,CN,0.588999987,5.425163746,65.49016571,-79.0772,36.0364
RC,RC09-2,2,CN,0.319000006,11.12409687,53.50719833,-79.0772,36.0364
RC,RC15-1,1,CN,0.379999995,8.972652435,60.39741898,-79.0772,36.0364
RC,RC15-2,2,CN,0.509000003,6.670194626,64.99949646,-79.0772,36.0364
RC,RC15-3,3,CN,0.375999987,9.17079258,57.98231125,-79.0772,36.0364
RC,RC16-1,1,CN,0.398000002,6.792525768,62.14713669,-79.0772,36.0364
RC,RC16-2,2,CN,0.629999995,6.316034317,63.17777634,-79.0772,36.0364
RC,RC16-3,3,CN,0.430000007,8.294092178,59.40278625,-79.0772,36.0364
RW,RW5-1,1,CN,0.458999991,10.1936903,54.23976898,-73.4855,44.4906
RW,RW5-2,2,CN,0.43900001,9.492765427,55.73906326,-73.4855,44.4906
SEB,SEB2-1,1,CN,0.537999988,9.723989487,56.57011414,-70.5828,43.9235
SEB,SEB2-2,2,CN,0.568000019,9.945376396,55.16077423,-70.5828,43.9235
SEB,SEB3-1,1,CN,0.284000009,8.751360893,55.34075165,-70.5828,43.9235
SEB,SEB3-2,2,CN,0.268999994,8.961263657,55.37582397,-70.5828,43.9235
SEB,SEB9-1,1,CN,0.518999994,10.82854939,54.53118896,-70.5828,43.9235
SEB,SEB9-2,2,CN,0.50999999,10.12537003,55.79123306,-70.5828,43.9235
