colonyID2,ColonyID_sara,Axis.1,Axis.2,Axis.3,Axis.4,Axis.5,Axis.6,Axis.7,Axis.8,Axis.9,Axis.10
UNF6,UNF6,-0.049621057,0.042743181,-0.035912175,-0.034149713,-0.041278789,0.000142448,-5.31E-06,1.16E-05,4.37E-05,-5.80E-06
UNF8,UNF8,-0.049297033,0.042585703,-0.035486796,-0.03404371,-0.041187397,0.000146438,-1.36E-05,2.66E-06,1.95E-05,-0.000172603
UNF4,UNF4,-0.049284976,0.042573263,-0.035450732,-0.034006055,-0.041135737,0.000140788,-1.34E-05,1.29E-06,1.08E-05,-0.000167338
CGNSP1,CGNSP1,-0.017044721,0.030705501,0.013479596,-0.008964929,-0.015312052,-0.0009873,-0.000360338,-0.00021016,-0.000341169,-0.001732099
CGYM9,CGYM9,-0.019852579,0.033460537,0.011739561,-0.005721582,-0.011511082,-0.001396625,-0.000335234,-0.00015331,-0.000243852,-0.001243626
CGNSP3,CGNSP3,-0.027344074,0.040231562,0.006946632,0.002237218,-0.001946302,-0.000646053,-3.81E-05,-5.90E-05,-0.000100899,-0.000407039
NSP3,NSP3,-0.033331443,0.044882368,0.002896328,0.007716735,0.004995237,-0.000814789,0.00057814,-0.000126927,-0.001208903,0.006104459
WP6,WP6,-0.030173751,0.042447012,0.005043858,0.004834405,0.001330594,-0.000796937,0.000289405,-0.00011345,-0.000947149,0.004931458
WP9,WP9,-0.033727967,0.045220862,0.00264156,0.008104587,0.005467347,-0.000974281,0.000763096,-0.000188631,-0.002235311,0.013332544
CGYM7,CGYM7,-0.037821713,0.048564724,-0.000138659,0.012141791,0.010530321,-0.019449561,-0.001878683,0.000198371,0.00121198,-0.005157556
IJAMS1,Ijams1,-0.034091988,0.0455889,0.002397228,0.008575032,0.006031886,-0.010109153,-0.00079745,3.57E-05,0.000195048,-0.001013703
IJAMS3,Ijams3,-0.034381232,0.04581734,0.002201025,0.00884693,0.00637532,-0.010510475,-0.000825673,3.96E-05,0.000194375,-0.000946778
RC15,RC15,-0.031680352,0.04377668,0.004069284,0.006400389,0.003228688,-0.002032273,0.000143542,-6.65E-05,-0.000538799,0.002608805
WP11,WP11,-0.033181861,0.04496661,0.003056935,0.007808265,0.005001433,-0.002382621,0.000313771,-8.60E-05,-0.000975261,0.00553424
CGYM10,CGYM10-3,-0.036180484,0.047764505,0.001142179,0.01114995,0.008990541,0.00365507,0.012371564,0.000126006,0.000760219,-0.00358009
CGYM13,CGYM13-3,-0.035264788,0.047016807,0.001755495,0.010259996,0.007880527,0.003214524,0.01065183,0.00010425,0.000655211,-0.003169889
YM2,YM2,-0.033944245,0.045914622,0.002634944,0.008944697,0.006251343,0.002255248,0.006533433,5.35E-05,0.000346148,-0.001739015
CGYM11,CGYM11,-0.034123474,0.046038982,0.002510634,0.009088844,0.006441343,0.002013794,0.005148022,3.67E-05,0.000191812,-0.000879798
YM1,YM1,-0.033483247,0.045519678,0.002939139,0.008473278,0.005672584,0.001812301,0.004593757,3.04E-05,0.000193884,-0.000996869
