"","colonyID2","CN.colony.mass","N.percent.colony","C.percent.colony","P.ave.colony","P.mass.colony","lat","MAP","DRT","APS","MAT","colonyID","P.ave.percent.colony","ColonyID_sara","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Comp.1","Comp.2","Comp.3"
"19","BRP8",0.576500029,10.20975399,55.16692543,-2.088857166,0.548,35.9264,1406,129,9,11.2,"BRP8",0.814972274,"BRP8",-0.027060466,-0.038243314,-0.00766092,0.004793009,0.001937108,-4.61e-05,1.51e-05,-0.003805063,0.006055328,0.001287178,-2.85701709039365,1.01309491382167,0.420099443897541
"20","BRP9",0.488333334,10.69868756,54.3152504,-2.085878799,0.4685,35.9264,1406,129,9,11.2,"BRP9",0.820580517,"BRP9",-0.022290409,-0.032708347,-0.00181405,0.00103238,-0.002516752,8.05e-05,-2.25e-05,-0.001008678,-0.000822161,-0.000379199,-2.85701709039365,1.01309491382167,0.420099443897541
"21","DSF11",0.549333334,10.47439543,55.86784871,-2.102214408,0.6705,41.2979,1150,112,14,7.1,"DSF11",0.790288371,"DSF11",-0.023254967,-0.033833189,-0.003001421,0.001798366,-0.001612264,4.76e-05,-7.4e-06,-0.002043518,-0.00167793,-0.000506633,1.30515079582727,0.331688860493243,0.849257143719556
"22","HSP1",0.47966667,8.395071506,56.78215027,-2.124404042,0.461333333,41.022,1143,113,15,7.7,"HSP1",0.750923953,"HSP1-2",-0.027218205,-0.038723995,-0.007995129,0.005076013,0.002065878,-4.92e-05,2.25e-05,-0.001213948,0.000809338,0.000251614,1.3193172970603,-0.109838742135377,0.983965634707782
"23","HSP6",0.49149999,9.760966779,54.78963471,-2.077431892,0.436,41.022,1143,113,15,7.7,"HSP6",0.8366968,"HSP6",-0.026300064,-0.037643443,-0.006862946,0.004344396,0.001210448,-2.55e-05,1.5e-05,-0.001154314,0.000446394,0.000135583,1.3193172970603,-0.109838742135377,0.983965634707782
"24","KBH2",0.354000002,10.09519577,55.67253113,-2.179665719,0.366,44.5676,1095,123,11,6.1,"KBH2",0.661202186,"KBH2",-0.024445377,-0.03526744,-0.004482081,0.002761431,-0.000510371,2.8e-05,-1.39e-05,0.003878838,-0.001007371,-0.000142148,0.543017687505842,0.355188607517166,-1.04875613177083
"25","KBH5",0.577750005,9.704154969,56.35971451,-2.078887406,0.54575,44.5676,1095,123,11,6.1,"KBH5",0.83389735,"KBH5",-0.025233922,-0.036194593,-0.005454326,0.003389561,0.000224967,7.86e-06,-9.94e-06,0.005397949,-0.001065286,-5.99e-05,0.543017687505842,0.355188607517166,-1.04875613177083
"26","KBH6",0.472500011,9.521500111,56.50442505,-2.04500908,0.4975,44.5676,1095,123,11,6.1,"KBH6",0.901552288,"KBH6",-0.023756358,-0.034654339,-0.00373531,0.002327261,-0.001148217,3.3e-05,-2.77e-06,-0.001038903,-0.000346973,-0.000112946,0.543017687505842,0.355188607517166,-1.04875613177083
"27","KBH8",0.448000014,7.621504784,59.6468544,-2.077206649,0.472,44.5676,1095,123,11,6.1,NA,NA,"KBH8",-0.025573533,-0.036570657,-0.005859259,0.003644736,0.000538352,1.74e-06,-7.88e-06,0.004749035,-0.000872366,-4.92e-05,0.543017687505842,0.355188607517166,-1.04875613177083
"28","LVA11",0.575333337,9.130501111,57.70575205,-2.081841597,0.583666667,37.4211,1073,128,10,13.2,"LVA11",0.828244199,"LVA11",0.310251294,0.004712974,0.003926499,-0.000854442,-0.003118369,3.24e-05,-1.2e-05,-2.46e-05,-6.5e-05,-0.000147634,-1.10320628193353,-0.86857128870764,-0.866603056899221
